證券代碼,簡稱,年月,市值(百萬元),收盤價(元)_年,Unknown masked parameter,股價淨值比,股價營收比,M淨值報酬率─稅後,資產報酬率ROA,營業利益率OPM,利潤邊際NPM,負債/淨值比,M流動比率,M速動比率,M存貨週轉率 (次),M應收帳款週轉次,M營業利益成長率,M稅後淨利成長率,Return,ReturnMean_year_Label
1101,台泥,201312,170763.1354,46.2500,0.1594,1.1116,1.4708,0.0984,0.0535,0.1531,0.1302,0.8401,124.7016,111.5107,12.5023,13.3730,34.5996,51.2138,18.8946,-1
1102,亞泥,201312,127207.7089,38.6000,0.4629,1.1851,1.8128,0.0787,0.0391,0.0947,0.1204,1.0124,105.4583,92.7663,8.9240,7.1161,61.7856,44.6649,3.3467,-1
1103,嘉泥,201312,12196.2074,15.7000,0.9146,0.5673,2.8574,0.0600,0.0386,0.0975,0.3022,0.5524,412.7418,372.8148,3.2513,23.1538,312.9716,324.2934,13.3574,-1
1104,環泥,201312,17059.9462,28.2500,0.1421,1.1734,3.2334,0.0770,0.0631,0.0218,0.2121,0.2206,154.7318,134.6961,15.4864,7.6161,1055.1796,59.7134,76.5625,1
1108,幸福,201312,3395.7518,8.3900,0.2868,0.7712,0.6973,0.0370,0.0190,0.0557,0.0334,0.9492,250.1144,87.8845,1.3423,8.9490,615.1965,-9.4873,25.5988,1
1109,信大,201312,5030.9596,11.9500,0.9156,0.7060,1.1054,0.0453,0.0330,0.0709,0.0709,0.3737,238.4799,177.4626,5.7419,15.6953,259.9117,478.3361,12.2066,-1
1110,東泥,201312,10010.0140,17.5000,0.2834,1.1486,4.9442,0.0169,0.0155,0.0960,0.0725,0.0899,466.3192,353.5056,5.2772,22.7221,96.8393,114.1659,24.1135,1
1201,味全,201312,26517.6960,52.4000,0.9522,2.3003,0.9081,0.0611,0.0185,0.0444,0.0241,2.2978,126.7181,42.6867,2.0040,10.1095,9.6498,11.0706,44.9516,1
1203,味王,201312,5976.0000,24.9000,0.4182,1.2202,0.9966,0.0742,0.0465,0.0743,0.0606,0.5959,218.2187,90.1583,3.6985,18.0836,11.8447,125.0578,23.8806,-1
1210,大成,201312,14954.4701,26.4000,0.2129,0.7959,0.1653,0.1201,0.0587,0.0093,0.0249,1.0469,141.6111,87.9792,11.2591,22.0747,-27.3299,99.7739,-0.7519,-1
